# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAC3	YBR085W	YBR085W_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
AAD14	YNL331C	YNL331C_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
AAD15	YOL165C	YOL165C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
AAD4	YDL243C	YDL243C_mRNA	protein_coding	0	1	1	0	0	0	0	1	0	0	0	0	1	0
AAD6	YFL056C	YFL056C	pseudogene	0	0	0	6	0	0	0	0	0	0	0	0	0	6
AAH1	YNL141W	YNL141W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AAT2	YLR027C	YLR027C_mRNA	protein_coding	1	1	1	8	3	1	0	1	0	0	0	0	1	5
ABM1	YJR108W	YJR108W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ABZ1	YNR033W	YNR033W_mRNA	protein_coding	0	0	0	7	4	0	0	0	0	0	0	0	0	3
ACA1	YER045C	YER045C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ACB1	YGR037C	YGR037C_mRNA	protein_coding	0	0	0	9	7	0	0	0	0	0	0	0	0	2
ACH1	YBL015W	YBL015W_mRNA	protein_coding	0	4	0	51	23	0	0	0	0	0	0	0	4	28
ACM1	YPL267W	YPL267W_mRNA	protein_coding	0	0	1	4	2	0	0	1	0	0	0	0	0	2
ACO1	YLR304C	YLR304C_mRNA	protein_coding	0	5	0	13	3	0	0	0	0	0	0	0	5	10
ACP1	YKL192C	YKL192C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ACS2	YLR153C	YLR153C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ACT1	YFL039C	YFL039C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADD37	YMR184W	YMR184W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ADE13	YLR359W	YLR359W_mRNA	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	1
ADE16	YLR028C	YLR028C_mRNA	protein_coding	0	2	0	12	6	0	0	0	0	1	0	1	1	6
ADE17	YMR120C	YMR120C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ADE5,7	YGL234W	YGL234W_mRNA	protein_coding	0	0	0	8	1	0	0	0	0	0	0	0	0	7
ADE6	YGR061C	YGR061C_mRNA	protein_coding	0	0	1	1	0	0	0	1	0	0	0	0	0	1
ADF1	YCL058W-A	YCL058W-A_mRNA	protein_coding	0	0	0	35	18	0	0	0	0	0	0	0	0	17
ADH4	YGL256W	YGL256W_mRNA	protein_coding	0	0	1	3	3	0	0	1	0	0	0	0	0	0
ADK2	YER170W	YER170W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ADY4	YLR227C	YLR227C_mRNA	protein_coding	0	1	0	13	13	0	0	0	0	0	0	0	1	0
AFB1	YLR040C	YLR040C_mRNA	protein_coding	0	0	2	6	3	0	0	2	0	0	0	0	0	3
AGA2	YGL032C	YGL032C_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0
AGC1	YPR021C	YPR021C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AGE2	YIL044C	YIL044C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AGP1	YCL025C	YCL025C_mRNA	protein_coding	0	0	1	5	4	0	0	1	0	0	0	0	0	1
AGP3	YFL055W	YFL055W_mRNA	protein_coding	0	0	1	9	8	0	0	1	0	0	0	0	0	1
AHP1	YLR109W	YLR109W_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
AIM11	YER093C-A	YER093C-A_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AIM32	YML050W	YML050W_mRNA	protein_coding	0	3	0	26	13	0	0	0	0	0	0	0	3	13
AIM33	YML087C	YML087C_mRNA	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	1
AIR1	YIL079C	YIL079C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AKL1	YBR059C	YBR059C_mRNA	protein_coding	0	4	0	11	4	0	0	0	0	0	0	0	4	7
ALA1	YOR335C	YOR335C_mRNA	protein_coding	0	1	2	8	3	0	0	2	0	0	0	0	1	5
ALD4	YOR374W	YOR374W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ALG11	YNL048W	YNL048W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
