# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAC3	YBR085W	YBR085W_mRNA	protein_coding	0	2	0	9	3	0	0	0	0	0	0	0	0	2	6
AAD14	YNL331C	YNL331C_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
AAD6	YFL056C	YFL056C	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AAH1	YNL141W	YNL141W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AAT2	YLR027C	YLR027C_mRNA	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	0	0	6
ABZ1	YNR033W	YNR033W_mRNA	protein_coding	0	0	1	6	2	0	0	1	0	0	0	0	0	0	4
ACB1	YGR037C	YGR037C_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
ACH1	YBL015W	YBL015W_mRNA	protein_coding	0	1	0	39	19	0	0	0	0	0	0	0	0	1	20
ACM1	YPL267W	YPL267W_mRNA	protein_coding	0	0	1	5	2	0	0	1	0	0	0	0	0	0	3
ACO1	YLR304C	YLR304C_mRNA	protein_coding	0	4	0	10	1	0	0	0	0	0	0	0	0	4	9
ACP1	YKL192C	YKL192C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ACS2	YLR153C	YLR153C_mRNA	protein_coding	0	1	0	4	3	0	0	0	0	0	0	0	0	1	1
ADE13	YLR359W	YLR359W_mRNA	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	1	2
